run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,stage,class,tp,pred,gt,precision,recall,iou
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,barrier,4261,12449,5072,0.34227648807133104,0.840102523659306,0.321342383107089
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,bicycle,0,8,10,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,bus,0,25,8,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,car,211,326,271,0.647239263803681,0.7785977859778598,0.5466321243523317
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,construction vehicle,0,427,32,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,pedestrian,796,4721,1558,0.16860834568947258,0.5109114249037228,0.14517599854094473
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,road,1987,2928,59005,0.6786202185792349,0.03367511227862045,0.03314649851533046
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,traffic cone,57,114,104,0.5,0.5480769230769231,0.35403726708074534
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,trailer,0,8151,0,0.0,,0.0
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,truck,4144,5631,16239,0.735926123246315,0.2551881273477431,0.23378088683290082
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,barrier,4397,19510,5072,0.22537160430548436,0.866916403785489,0.21783502600941293
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,bicycle,0,1,10,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,bus,0,23,8,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,car,218,5159,271,0.04225625121147509,0.8044280442804428,0.04182655410590944
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,construction vehicle,0,577,32,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,pedestrian,865,6888,1558,0.1255807200929152,0.555198973042362,0.11410104207888142
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,road,0,0,59005,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,traffic cone,67,310,104,0.2161290322580645,0.6442307692307693,0.1930835734870317
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,trailer,0,9463,0,0.0,,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,truck,6785,10421,16239,0.6510891469148834,0.4178212944146807,0.34138364779874214
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,barrier,4261,12223,5072,0.34860508876707846,0.840102523659306,0.3269142243363511
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,bicycle,0,8,10,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,bus,0,44,8,0.0,0.0,0.0
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,car,211,3261,271,0.06470407850352652,0.7785977859778598,0.0635350797952424
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,construction vehicle,0,427,32,0.0,0.0,0.0
