run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,sample,stage,points,assigned_points,assigned_ratio,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.23085305105853052,0.17464553508732839,0.22988869720173233,0.09807507777394105,12
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.33601304905044854,0.23790744790240714,0.2564299165288136,0.13149254176231548,12
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.03709949409780776,0.1283001382063094,0.11022570422588827,0.06908907839289237,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.04596751995595926,0.1856535639161151,0.107336472853753,0.07280709755602673,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.23968981318293972,0.15146048211446297,0.2421391975628377,0.10400389675569172,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.34043478260869564,0.214566404963951,0.2329886431790088,0.14895877564766413,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.34198954617107774,0.1857277689284272,0.30413826847062514,0.149372000542048,12
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.49012760241773,0.2525576885100804,0.2698458505216996,0.18368220851003544,12
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07185295209803194,0.13250249475377507,0.2573953141247398,0.11782019684542124,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13637130801687763,0.17899556434245348,0.25639252946288404,0.140336255593625,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.23046388542963886,0.1736987026120225,0.2255931645556842,0.09798656781307628,12
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.341139461726669,0.25020453007156723,0.26700396187743963,0.13836877796199668,12
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.19077096229600451,0.13508662064708832,0.1769629923614815,0.09928548565487204,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.2558588365039978,0.19814505218256454,0.1693475549919538,0.1329373540345745,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.23968981318293972,0.15146048211446297,0.2421391975628377,0.10400389675569172,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.34152173913043476,0.21466538100185223,0.2331190212754886,0.14907372346135672,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3430681158217871,0.17853804161537515,0.304745177901064,0.14339614338235204,12
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.49026192075218267,0.24326886238502468,0.2698925358625026,0.177263933744489,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07333828444114371,0.14034227961220636,0.28154397896576905,0.12624815566833922,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13772151898734178,0.19383264032988276,0.27910810125010815,0.15296699937386501,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.07075031133250312,0.0973562213372809,0.24560576189879002,0.0613118295336178,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.10963532564371432,0.15476393201190042,0.25376576765507525,0.08992995820008486,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.26561620709060213,0.18573399307663896,0.1882220927621813,0.10974996151314266,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.48635235732009924,0.2558718854928808,0.19293805106961057,0.1543447083314095,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.4478322171307719,0.17893798313467255,0.2725844276052664,0.14419455946075466,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.5660869565217391,0.2276046823200718,0.26005513600821345,0.1748974170577329,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3430681158217871,0.1542196978700437,0.304745177901064,0.12229180239763164,12
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.49026192075218267,0.24326886238502468,0.2698925358625026,0.177263933744489,12
